fecha_reporte;inicio;fin;parque;ag;sistema;event_class;description;duracion
2025-12-11;2025-12-11 11:51:43;2025-12-11 12:12:15;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 12:57:58;2025-12-11 12:59:18;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 13:44:03;2025-12-11 13:45:20;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 14:30:45;2025-12-11 14:31:55;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 15:12:00;2025-12-11 15:13:23;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 16:07:04;2025-12-11 16:08:40;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 16:52:17;2025-12-11 16:53:40;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 17:34:22;2025-12-11 17:35:19;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 18:30:25;2025-12-11 18:31:30;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 19:21:03;2025-12-11 19:22:14;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 21:59:18;2025-12-11 22:25:05;PECHN;8;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -698°;0
2025-12-11;2025-12-11 20:57:21;2025-12-11 20:58:21;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 21:50:55;2025-12-11 21:52:01;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 22:49:46;2025-12-11 22:50:57;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 23:47:12;2025-12-11 23:48:29;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 14:28:22;2025-12-11 14:49:17;PER;52;Yaw;1 - Falla delactual;3296 - Yaw To Nacelle Position Reset;0
2025-12-11;2025-12-11 18:47:45;2025-12-11 18:50:21;PER;55;Sistema de Control;1 - Falla delactual;693 - SignalError-PAUSE 1830, 1;0
2025-12-11;2025-12-11 19:58:09;2025-12-11 19:59:25;PEM;2;Yaw;1 - Falla delactual;356 - Extreme yawerror 85,0m/s 578,0°;0
2025-12-11;2025-12-11 12:56:26;2025-12-11 20:41:21;PET;1;;1 - Falla delactual;General yaw problem;0
2025-12-11;2025-12-11 15:09:11;2025-12-11 17:25:14;PET;4;;1 - Falla delactual;General yaw problem;0
2025-12-11;2025-12-11 12:15:20;2025-12-11 18:47:12;PET;5;;1 - Falla delactual;General yaw problem;0
2025-12-11;2025-12-11 10:16:59;2025-12-11 18:42:56;PET;8;;1 - Falla delactual;General yaw problem;0
2025-12-11;2025-12-11 04:17:25;2025-12-11 15:55:19;PET;9;;1 - Falla delactual;Twist counter clockwise;0
2025-12-11;2025-12-11 13:19:50;2025-12-11 18:53:25;PET;12;;1 - Falla delactual;Yaw Error;0
2025-12-11;2025-12-11 13:10:44;2025-12-11 18:54:26;PET;13;;1 - Falla delactual;General yaw problem;0
2025-12-11;2025-12-11 10:02:35;2025-12-11 17:57:45;PET;15;;1 - Falla delactual;Yaw Error;0
2025-12-11;2025-12-11 12:29:10;2025-12-11 18:22:30;PET;16;;1 - Falla delactual;General yaw problem;0
